Unboxed Coworking,CITY,ADDRESS,POC,STATE,AREA,DAY PASS,CATEGORY AS PER PRICING,STATUS,AMENITIES,FLEXI DESK _MONTHLY,DD_MONTHLY,PC_MONTHLY,CATEGORY AS PER SAP,ALT NAME,avg_rating,review_count,seats_available
Innov8 Kurla,Mumbai,"Piramal Agastya Private Limited Opposite Fire Brigade, Kamani Junction, Kajupad, Kurla, Mumbai, Maharashtra 400070",,Maharashtra,Andheri West,0,STANDARD,NOT LIVE,"[""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Common Area"",""Reception""]",0,5400,6199,STANDARD,Innov8 Kurla,4.6,475,85
wework-Embassy Golflinks,Bengaluru,"10/2A 10/2B, 3rd floor, Sunriver building,off Intermediate ring road, EGL, Cha llaghatta, Domlur, Bangalore, Karnataka 560071",Meher,Karnataka,Challaghatta,0,STANDARD,LIVE,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Locker/Storage"",""Tea/Coffee"",""24*7 Access"",""Meeting Room"",""Common Area"",""Reception"",""F&B Cafe"",""Power Backup""]",10500,0,0,PLATINUM+,wework-Embassy Golflinks,3.6,19,38
wework-RMZ Latitude Commercial,Bengaluru,"Hebbal, 9th floor, RMZ Latitude Commercial, Bellary Road Hebbal, Near Godrej Apt, Bangalore, KA 560024",Chetana,Karnataka,Hebbal,0,STANDARD,LIVE,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Locker/Storage"",""Tea/Coffee"",""24*7 Access"",""Meeting Room"",""Common Area"",""Reception"",""F&B Cafe"",""Services(Courier Service/Meeting Room/Admin/HR/IT)"",""Power Backup""]",0,0,19000,PLATINUM+,wework-RMZ Latitude Commercial,4.4,105,55
Viman Nagar,Pune,"Ground floor, Unit no.2 & 3, B-Wing, Business @ Mantri, Viman Nagar, Pune, Maharashtra 411014",,Maharashtra,Viman Nagar,750,PLATINUM,NOT LIVE,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",1750,3500,13000,PLATINUM,Viman Nagar,4.8,170,22
Gachibowli,Hyderabad,"5th Floor, Shanta Sriram Building, PSR Towers,, Gachibowli, beside DLF Building, Hyderabad, Telangana 500032",,Telangana,Gachibowli,750,PLATINUM,NOT LIVE,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",1750,3500,13000,PLATINUM,Gachibowli,4.6,372,82
wework-Salarpuria Magnificia,Bengaluru,"13th Floor, No. 78, Next to KR Puram Tin Factory, Old Madras Road, Mahadevapura Bengaluru, KA 560016",Chetana,Karnataka,Dooravani Nagar,650,PLATINUM,LIVE,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Smoking Room"",""Services(Courier/Admin)"",""Locker/Storage"",""Tea/Coffee"",""24*7 Access"",""Work Friendly Music"",""Meeting Room"",""Common Area"",""Reception"",""Services(HR/Admin/IT/Virtual Address)"",""Services(HR/Admin/IT)"",""Services(HR/Admin/IT/Meeting Room)"",""F&B Cafe"",""Gaming Room"",""Services(Courier Service/Meeting Room/Admin/HR/IT)"",""Services(Courier/Mail Handling/Admin/Meeting Room)"",""Food"",""Pets Friendly"",""Power Backup"",""Leased Line""]",0,0,19000,PLATINUM+,wework-Salarpuria Magnificia,4.9,490,42
Regus Vasant Square,Delhi NCT,"Level 3 Vasant Square Mall, Pocket V, Sector B, New Delhi, Delhi 110070",Sanjeet,Delhi (NCT),Vasant Kunj,800,PLATINUM+,NOT LIVE,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Parking"",""Meeting Room"",""F&B Cafe""]",0,16423,16699,PLATINUM+,Regus Vasant Square,4.7,149,87
wework-The Pavilion,Bengaluru,"62/63, The Pavilion, Church Street Bengaluru, KA 560001",Chetana,Karnataka,Ashok Nagar,750,PLATINUM,LIVE,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Locker/Storage"",""Tea/Coffee"",""24*7 Access"",""Meeting Room"",""Common Area"",""Reception"",""F&B Cafe"",""Services(Courier Service/Meeting Room/Admin/HR/IT)"",""Power Backup"",""Pets Friendly""]",0,0,26000,PLATINUM+,wework-The Pavilion,3.8,399,23
Hi-Tech City,Hyderabad," Level 6, N Heights, Plot No 38, Phase 2, Siddiq Nagar, HITEC City, Hyderabad, Telangana 500081",,Telangana,Hitec City,750,PLATINUM,NOT LIVE,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",1750,3500,13000,PLATINUM,Hi-Tech City,3.8,39,61
WorkFlo Icon Tower,Pune,"Baner Road, Laxman Nagar, Baner, Pune, Maharashtra - 411045",Kishan  Singh,Maharashtra,Baner,400,GOLD,NOT LIVE,"[""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Common Area"",""Reception""]",0,6499,7499,GOLD,WorkFlo Icon Tower,4.2,84,44
GoHive,Gurgaon,"GoHive Global Foyer, 404, 4th Floor, Global Foyer, Golf Course Road, Sector 43, Gurugram, Haryana 122002",,Haryana,Sector 41,0,STANDARD,NOT LIVE,"[""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Locker/Storage""]",1530,15000,18000,STANDARD,GoHive,4.9,185,92
WorkFlo Hitex Bizness Square,Hyderabad,"4th and 5th Floor, Bizness Square, Junction, opposite Hitex Road, Jubilee Enclave, HITEC City, Madhapur, Hyderabad, Telangana 500084, India",Kamal Chaithanya	,Telangana,Jubilee Enclave,400,GOLD,NOT LIVE,"[""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Reception""]",0,6999,7999,STANDARD,WorkFlo Hitex Bizness Square-I,4.5,46,89
Regus American Plaza,Delhi NCT,"Level S-2 American Plaza, New Delhi, Delhi 110019",Sanjeet,Delhi (NCT),Rama Krishna Puram,1000,PLATINUM+,NOT LIVE,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",0,18000,0,PLATINUM+,Regus American Plaza,4.4,403,96
Nehru Place,Delhi NCT,"The Great Eastern Centre, Awfis Space Solutions, GESCO), 70, Behind IFCI, Tower, Nehru Place, Delhi 110019",,Delhi (NCT),Nehru Place,800,PLATINUM+,NOT LIVE,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",1850,4250,14500,PLATINUM+,Nehru Place,4.8,91,99
wework-Vaishnavi Signature,Bengaluru,"No. 78/9, Outer Ring Road, Bellandur Village Varthur Hobli Bengaluru, Karnataka 560103",Chetana,Karnataka,Bellandur,650,PLATINUM,LIVE,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Locker/Storage"",""Tea/Coffee"",""24*7 Access"",""Meeting Room"",""Common Area"",""Reception"",""F&B Cafe"",""Services(Courier Service/Meeting Room/Admin/HR/IT)"",""Power Backup"",""Gaming Room"",""Pets Friendly""]",0,0,21000,PLATINUM+,wework-Vaishnavi Signature,4.8,281,13
GoHive,Gurgaon,"GoHive Ocus,  2nd Floor, Tower-A, Ocus Technopolis, Golf Course Road, Sector 54, Gurugram, Haryana 122002",,Haryana,Phase Ii,0,STANDARD,NOT LIVE,"[""Wifi"",""Easy Accessibility"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""24*7 Access""]",1530,12000,15000,STANDARD,GoHive,4.2,127,39
Lower Parel,Mumbai,"Mathuradas Mill Compound, Ground & 1st Floor, Poddar Chambers, Senapati Bapat Marg, Lower Parel, Mumbai, Maharashtra 400013",,Maharashtra,Lower Parel,750,PLATINUM,NOT LIVE,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",1750,3500,13000,PLATINUM,Lower Parel,3.5,200,59
AltF Coworking-Plaza Mall,Gurgaon,"Unit A, 4th Floor, Plaza Mall, Mehrauli-Gurgaon Rd, Gurugram, Haryana",Ajit Kumar Satapathy,Haryana,Sushant Lok Phase I,0,STANDARD,NOT LIVE,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Power Backup"",""Reception"",""Wifi""]",0,9000,9000,STANDARD,AltF Coworking-Plaza Mall,4.6,11,47
Schindler House,Mumbai,"6th floor, Schindler House, Near Main Street, Chemtex Lane, Hiranandani Gardens, Sainath Nagar, Powai, Mumbai, Maharashtra 400076",,Maharashtra,Powai,750,PLATINUM,NOT LIVE,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",1750,3500,13000,PLATINUM,Schindler House,4.8,146,27
WorkFlo Unitech Cyber Park,Gurgaon,"9th Floor, Tower B, Unitech Cyber Park, Sector 39, Gurgaon",,Haryana,Sector 41,0,STANDARD,NOT LIVE,"[""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Reception""]",0,5400,6199,STANDARD,WorkFlo Unitech Cyber Park,4.3,22,46
Awfis,Delhi NCT,"L29 - L34, First Floor, Connaught Place",,Delhi (NCT),Connaught Place,800,PLATINUM+,NOT LIVE,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",1850,4250,14500,PLATINUM+,Connaught Place,4.5,266,88
Lotus Business Park,Noida,"6th Floor, Lotus Business Park, Sector 127",,Uttar Pradesh,Andheri West,500,GOLD,NOT LIVE,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",1200,2500,11000,GOLD,Lotus Business Park,3.6,14,84
Globsyn Saltlake City,Kolkata,"Podium & 1st floor, Globsyn, EP, Sector V, Salt Lake Electronics Complex, Kolkata, West Bengal 700091",,West Bengal,Bidhannagar,500,GOLD,NOT LIVE,"[""Wifi"",""Stationary"",""Printer/Scanner"",""Tea/Coffee""]",1750,2500,11000,GOLD,Globsyn Saltlake City,3.6,115,32
Residency Road,Bengaluru," Sabari Complex, 24, Field Marshal, Cariappa Rd, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560025",,Karnataka,Ashok Nagar,500,GOLD,NOT LIVE,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",1750,2500,12000,GOLD,Residency Road,4.2,344,42
Innov8 MIDC,Mumbai,"Plot No.33, Chakala Industrial Area, MIDC Central Road, Andheri East, Near Goldfinch Hotel, Mumbai, Maharashtra 400093",,Maharashtra,Magathane,0,STANDARD,NOT LIVE,"[""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Reception""]",0,5400,6199,STANDARD,Innov8 MIDC,4.7,197,49
wework-Prestige Central,Bengaluru,"Infantry Road, 36, Infantry Rd, Bangalore, KA 560001",Chetana,Karnataka,Shivaji Nagar,1000,PLATINUM+,LIVE,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Locker/Storage"",""Tea/Coffee"",""24*7 Access"",""Meeting Room"",""Common Area"",""Reception"",""F&B Cafe"",""Services(Courier Service/Meeting Room/Admin/HR/IT)"",""Power Backup"",""Gaming Room"",""Pets Friendly""]",0,0,27500,PLATINUM+,wework-Prestige Central,4.3,346,88
wework-Embassy Quest,Bengaluru,"45/1, Magrath Road Richmond Town Bengaluru, Karnataka 560025",Chetana,Karnataka,Ashok Nagar,650,PLATINUM,LIVE,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Locker/Storage"",""Tea/Coffee"",""24*7 Access"",""Meeting Room"",""Common Area"",""Reception"",""F&B Cafe"",""Services(Courier Service/Meeting Room/Admin/HR/IT)"",""Power Backup"",""Pets Friendly""]",0,0,25000,PLATINUM+,wework-Embassy Quest,4.1,455,13
Vashi,Mumbai,"18th Floor, Cyber One, Opp CIDCO Exhibition Centre, Sector 30, Vashi, Navi Mumbai, Maharashtra 400703",,Maharashtra,Vashi,750,PLATINUM,NOT LIVE,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",1750,3500,13000,PLATINUM,Vashi,4.5,169,11
Schindler House 2,Mumbai,"5th floor, Schindler House, Near Main Street, Chemtex Lane, Hiranandani Gardens, Sainath Nagar, Powai, Mumbai, Maharashtra 400076",,Maharashtra,Powai,750,PLATINUM,NOT LIVE,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",1750,3500,13000,PLATINUM,Schindler House 2,3.6,223,45
wework-Prestige Cube,Bengaluru,"Site No. 26, Laskar Hosur Road Adugodi, Koramangala Bengaluru, Karnataka 560029",Chetana,Karnataka,Marathahalli,0,STANDARD,LIVE,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Locker/Storage"",""Tea/Coffee"",""24*7 Access"",""Work Friendly Music"",""Meeting Room"",""Common Area"",""Reception"",""Services(HR/Admin/IT/Meeting Room)"",""F&B Cafe"",""Services(Courier Service/Meeting Room/Admin/HR/IT)"",""Power Backup""]",0,0,23500,PLATINUM+,wework-Prestige Cube,3.9,40,18
Regus Wave,Delhi NCT,"South Extension II M 4 1st Floor, New Delhi, Delhi 110049",,Delhi (NCT),Dwarka,930,PLATINUM+,NOT LIVE,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",0,18000,0,PLATINUM+,Regus Wave,4.1,240,46
GoHive,Gurgaon,"GoHive Paras Trinity, 10 floor, Paras Trinity, Golf Course Ext Rd, Sector 63, Gurugram, Haryana 122102",,Haryana,Huda Colony,0,STANDARD,NOT LIVE,"[""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",1530,10000,12000,STANDARD,GoHive,3.5,245,63
wework-Manyata NXT Towers,Bengaluru,"Hebbal, Embassy Manyata Business Park, Nagavara, Bangalore, KA 560045",Chetana,Karnataka,Manayata Tech Park,0,STANDARD,LIVE,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Locker/Storage"",""Tea/Coffee"",""24*7 Access"",""Meeting Room"",""Common Area"",""Reception"",""F&B Cafe"",""Services(Courier Service/Meeting Room/Admin/HR/IT)"",""Power Backup"",""Gaming Room""]",0,0,23500,PLATINUM+,wework-Manyata NXT Towers,4.4,180,20
wework-Salarpuria Symbiosis,Bengaluru,"Bannerghatta Main Rd, Venugopal Reddy Layout, Arekere, Bangalore, KA 560076",Chetana,Karnataka,Arekere,700,PLATINUM,LIVE,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Locker/Storage"",""Tea/Coffee"",""24*7 Access"",""Meeting Room"",""Common Area"",""Reception"",""F&B Cafe"",""Services(Courier Service/Meeting Room/Admin/HR/IT)"",""Power Backup"",""Gaming Room"",""Pets Friendly""]",0,0,17000,PLATINUM+,wework-Salarpuria Symbiosis,4.9,347,71
wework-Embassy TechVillage,Bengaluru,"Block L, Embassy Tech Village Devarabisanahalli, Outer Ring Road, Bellandur Bengaluru, KA 560103",Chetana,Karnataka,Kadabeesanahalli,650,PLATINUM,LIVE,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Locker/Storage"",""Tea/Coffee"",""24*7 Access"",""Meeting Room"",""Common Area"",""Reception"",""F&B Cafe"",""Services(Courier Service/Meeting Room/Admin/HR/IT)"",""Food"",""Power Backup"",""Gaming Room""]",0,0,22000,PLATINUM+,wework-Embassy TechVillage,4.7,61,86
Krastay-II,Delhi NCT,"Westend Marg, Sainik Farm, New Delhi, Delhi 110030, India",,Delhi (NCT),Okhla Industrial Estate,500,GOLD,NOT LIVE,"[""Wifi"",""Easy Accessibility"",""Stationary"",""Printer/Scanner"",""Tea/Coffee""]",6500,7500,30000,SILVER,Krastay-II,3.9,456,77
Andheri East,Mumbai,"2A Wing, 5th Floor, Aakruti Trade Center, MIDC, Rd Number 7, Andheri East, Mumbai, Maharashtra 400093",,Maharashtra,Andheri East,750,PLATINUM,NOT LIVE,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",1750,3500,13000,PLATINUM,Andheri East,4.9,299,70
Innov8 Litolier Chamber,Mumbai,"Litoliar Chamber, Andheri - Kurla Rd, Chimatpada, Marol, Andheri East, Mumbai, Maharashtra 400059",,Maharashtra,Lower Parel,0,STANDARD,NOT LIVE,"[""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Common Area"",""Reception""]",0,5400,6199,STANDARD,Innov8 Litolier Chamber,4.6,421,92
Lavelle Road,Bengaluru,"14th floor, Skav 909 Building, Ashok Nagar, Lavelle Road, Bengaluru-560025, Bengaluru, Karnataka 560025",,Karnataka,Ashok Nagar,850,PLATINUM+,NOT LIVE,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Smoking Room"",""Tea/Coffee""]",0,4500,14500,PLATINUM+,Lavelle Road,4.4,254,71
Innov8 Amanora Mall,Pune,"Amanora Mall, Mundhwa - Kharadi Road, Amanora Park Town, Hadapsar, Pune, Maharashtra 411028",,Maharashtra,Shivajinagar,0,STANDARD,NOT LIVE,"[""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Common Area"",""Reception""]",0,5400,6199,STANDARD,Innov8 Amanora Mall,5.0,157,33
Regus Incube,Delhi NCT,"Essen House, Punj House, 17-18, Nehru Place 5th floor, New Delhi, Delhi 110019",Sanjeet,Delhi (NCT),Nehru Place,700,PLATINUM,NOT LIVE,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",0,18000,0,PLATINUM,Regus Incube,4.5,405,91
WorkFlo Krishe Sapphire,Hyderabad,"8th Floor, Krishe Sapphire, Hitech City Road, Madhapur, Hyderabad - 500081",,Telangana,Marathahalli,0,STANDARD,NOT LIVE,"[""Wifi"",""Easy Accessibility"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Reception""]",0,5400,6199,STANDARD,WorkFlo Krishe Sapphire,4.4,192,44
The Kode,Pune,"6th Floor, The Kode, Baner - Pashan Link Rd, Baner, Pune, Maharashtra 411021",,Maharashtra,Baner,750,PLATINUM,NOT LIVE,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",1750,3500,13000,PLATINUM,The Kode,4.2,37,20
Godrej Waterside Salt Lake,Kolkata,"Godrej Waterside, 12th Floor, Tower II, DP-5, DP Block, Sector V, Bidhannagar, Kolkata, West Bengal 700091",,West Bengal,Bidhannagar,500,GOLD,NOT LIVE,"[""Wifi"",""Stationary"",""Printer/Scanner"",""Tea/Coffee""]",1750,2500,11000,GOLD,Godrej Waterside Salt Lake,4.7,141,67
Awfis Space,Hyderabad,"Awfis Space Solutions, Ground Floor, North East Plaza, Erramanzil, Banjara Hills, Banjara Hills Hyderabad 500082",,Telangana,Banjara Hills,750,PLATINUM,NOT LIVE,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",0,3500,13000,PLATINUM,Awfis Space,4.5,323,74
Regus KLJ Tower,Delhi NCT,"2nd Floor KLJ Tower North B-5, District Centre, Netaji Subhash Place, New Delhi, Delhi 110034",Sanjeet,Delhi (NCT),Netaji Subhash Place,750,PLATINUM,NOT LIVE,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Meeting Room"",""F&B Cafe"",""Tea/Coffee""]",0,18499,19399,PLATINUM,Regus KLJ Tower,3.8,254,51
Innov8,Delhi NCT,"2nd Floor, Property No. 44, Regal Building, Connaught Place, New Delhi - 110001",,Delhi (NCT),Dwarka,200,STANDARD,NOT LIVE,"[""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Reception""]",0,5400,6199,STANDARD,Innov8,3.6,153,50
ALTF Coworking,Gurgaon,"6th Floor, Plot Number 4, Minarch Tower, Behind Indigo Building, Sector 44, Gurugram",,Haryana,Sector 44,0,STANDARD,NOT LIVE,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Power Backup"",""Reception"",""Wifi""]",0,8000,9500,STANDARD,ALTF Coworking,5.0,20,16
Regus Rectangle,Delhi NCT,"4th Floor Rectangle No.1, behind Marriot Hotel, Saket, New Delhi, Delhi 110017",Sanjeet,Delhi (NCT),Nehru Place,800,PLATINUM+,NOT LIVE,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""F&B Cafe""]",0,18123,19399,PLATINUM+,Regus Rectangle,3.8,343,78
wework-Galaxy,Bengaluru,"Ground Floor, 43, Residency Rd, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560025, India",Chetana,Karnataka,Ashok Nagar,1000,PLATINUM+,LIVE,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Locker/Storage"",""Tea/Coffee"",""24*7 Access"",""Work Friendly Music"",""Meeting Room"",""Common Area"",""Reception"",""F&B Cafe"",""Services(Courier Service/Meeting Room/Admin/HR/IT)"",""Food"",""Power Backup"",""Gaming Room""]",0,0,26000,PLATINUM+,wework-Galaxy,4.9,113,16
Awfis Space,Bengaluru,"7th Floor, HM Vibha Towers, Chikku Lakshmaiah Layout, Adugodi, Hosur Road",,Karnataka,Ambedkar Nagar,500,GOLD,NOT LIVE,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",1200,2500,13000,GOLD,Awfis Space,4.2,482,11
wework-Prestige Atlanta,Bengaluru,"Prestige Atlanta 80 Feet Main Road Koramangala 1A Block Bengaluru, KA 560034",Chetana,Karnataka,Koramangala,650,PLATINUM,LIVE,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Locker/Storage"",""Tea/Coffee"",""24*7 Access"",""Work Friendly Music"",""Meeting Room"",""Common Area"",""Reception"",""Services(HR/Admin/IT/Meeting Room)"",""F&B Cafe"",""Services(Courier Service/Meeting Room/Admin/HR/IT)"",""Power Backup""]",0,0,21000,PLATINUM+,wework-Prestige Atlanta ,3.5,56,42
Awfis Space,Delhi NCT,"Main Mathura Road, G78W+RC9, Mohan Co Operative State, Near Samudayik Kendra, Ali Extension, Ali, Delhi, 110044, India",,Delhi (NCT),Ali Extension,500,GOLD,NOT LIVE,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",0,2500,11000,GOLD,Awfis Space,3.7,449,11
Awfis Space,Mumbai,"10th Floor, Aston Building, Sundervan Complex, Lokhandwala Complex, Andheri West, Mumbai, Maharashtra 400053, India",,Maharashtra,Andheri West,0,STANDARD,NOT LIVE,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",1750,3500,13000,STANDARD,Awfis Space,3.6,341,65
ALTF Coworking,Gurgaon,"Unit 502, 5th Floor, Veritas Tower, Sector 53, Golf Course Road, Gurugram",,Haryana,Sector 53,0,STANDARD,NOT LIVE,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",0,7000,9500,STANDARD,ALTF Coworking,3.9,90,58
wework-NESCO IT Park,Mumbai,"Building 4, North Wing, IT Park, Western Express Hwy, NESCO, Goregaon, Mumbai, Maharashtra 400063, India",Meher,Maharashtra,Goregaon,750,PLATINUM,LIVE,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Locker/Storage"",""Tea/Coffee"",""24*7 Access"",""Meeting Room"",""Common Area"",""Reception"",""Services(HR/Admin/IT/Meeting Room)"",""F&B Cafe"",""Services(Courier Service/Meeting Room/Admin/HR/IT)"",""Food"",""Power Backup"",""Gaming Room""]",0,0,32000,PLATINUM+,wework-NESCO IT Park,4.0,96,80
wework-Raheja Platinum,Mumbai,"Sag Baug Road, off Andheri-Kurla Road Marol, Andheri East Mumbai, MH 400059",Meher,Maharashtra,Andheri East,1000,PLATINUM+,LIVE,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Locker/Storage"",""Tea/Coffee"",""24*7 Access"",""Meeting Room"",""Common Area"",""Reception"",""F&B Cafe"",""Gaming Room"",""Services(Courier Service/Meeting Room/Admin/HR/IT)"",""Power Backup""]",0,0,24000,PLATINUM+,wework-Raheja Platinum,4.8,194,60
wework-Seawoods Grand Central,Mumbai,"10th Floor, Tower 1, Seawoods Grand Central Sector 40, Seawoods Railway Station Nerul Node Mumbai, MH 400706",Meher,Maharashtra,Seawoods,0,STANDARD,LIVE,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Locker/Storage"",""Tea/Coffee"",""24*7 Access"",""Meeting Room"",""Common Area"",""Reception"",""F&B Cafe"",""Services(Courier Service/Meeting Room/Admin/HR/IT)"",""Food"",""Power Backup""]",10500,0,0,PLATINUM+,wework-Seawoods Grand Central,4.8,215,64
wework-Zenia,Mumbai,"Zenia Building, Hiranandani Circle, Hiranandani Business Park, Off Ghodbunder Road, Thane Mumbai, MH 400607",Meher,Maharashtra,Thane West,650,PLATINUM,LIVE,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Locker/Storage"",""Tea/Coffee"",""24*7 Access"",""Meeting Room"",""Common Area"",""Reception"",""Services(HR/Admin/IT/Meeting Room)"",""F&B Cafe"",""Services(Courier Service/Meeting Room/Admin/HR/IT)"",""Food"",""Power Backup""]",0,0,17000,PLATINUM+,wework-Zenia,3.6,462,11
wework-Enam Sambhav,Mumbai,"C-20, G Block, Bandra-Kurla Complex Mumbai, MH 400051",Meher,Maharashtra,Bandra East,1000,PLATINUM+,LIVE,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Locker/Storage"",""Tea/Coffee"",""24*7 Access"",""Work Friendly Music"",""Meeting Room"",""Common Area"",""Reception"",""Services(HR/Admin/IT/Meeting Room)"",""F&B Cafe"",""Services(Courier Service/Meeting Room/Admin/HR/IT)"",""Food"",""Power Backup""]",0,0,45000,PLATINUM+,wework-Enam Sambhav,3.8,442,80
